"LabelValue","Mean","Min","Max","Variance","Count","Volume","Mass","x","y","z","t"
0,-0.134237229996503,-857.423889160156,141.950210571289,65.5583314213482,70450,4127929.75,0,0,0,0,NA
1,33.2900734016868,-296.233856201172,652.233154296875,4950.11428492785,3634,212929.6875,120976.12674173,-0.183761067618757,-9.00242602149405,23.6362561722935,NA
2,114.28172472749,-309.042297363281,605.546936035156,5835.36958948357,12308,721171.875,1406579.46794594,-0.918327720823093,-6.43508299194376,23.0532797725704,NA
3,59.9798036267259,-204.800155639648,411.742584228516,3078.24497543205,7907,463300.78125,474260.307276522,-1.48322459498654,-5.48844114404661,24.5453086347424,NA
4,74.8986900886919,-101.495880126953,206.542922973633,1533.66794498296,819,47988.28125,61342.0271826386,-0.245610163762019,-20.0004395425538,8.00453218173631,NA
5,7.05391734159055,-566.616027832031,192.443069458008,9835.29558653437,386,22617.1875,2722.81209385395,-0.613037425619333,-7.505125055659,-27.345958433003,NA
6,37.1407589058285,-402.798217773438,532.408386230469,3358.23825366172,2800,164062.5,103994.12493632,-2.18062046595982,23.8970249720982,-32.7416949244908,NA
